,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
26,0.295,https://api.spotify.com/v1/audio-analysis/7JJfAJGVOnuszOf6o1SZtq,0.351,185905,0.765,7JJfAJGVOnuszOf6o1SZtq,0.0,6,0.0788,-3.501,0,0.0635,157.84,4,https://api.spotify.com/v1/tracks/7JJfAJGVOnuszOf6o1SZtq,audio_features,spotify:track:7JJfAJGVOnuszOf6o1SZtq,0.567
27,0.229,https://api.spotify.com/v1/audio-analysis/5esPpmrM2AsyDVgOKzWQwU,0.58,240600,0.687,5esPpmrM2AsyDVgOKzWQwU,0.0,6,0.109,-5.4,1,0.106,76.014,4,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU,audio_features,spotify:track:5esPpmrM2AsyDVgOKzWQwU,0.187
28,0.0261,https://api.spotify.com/v1/audio-analysis/7shOuDh6jyORhGzMIU49Uj,0.565,234120,0.827,7shOuDh6jyORhGzMIU49Uj,0.0,4,0.0743,-4.982,1,0.126,165.087,4,https://api.spotify.com/v1/tracks/7shOuDh6jyORhGzMIU49Uj,audio_features,spotify:track:7shOuDh6jyORhGzMIU49Uj,0.926
29,0.532,https://api.spotify.com/v1/audio-analysis/0exKMPo2iind68yWTaHCrr,0.7,256893,0.447,0exKMPo2iind68yWTaHCrr,0.000192,8,0.0878,-11.083,0,0.0354,144.726,4,https://api.spotify.com/v1/tracks/0exKMPo2iind68yWTaHCrr,audio_features,spotify:track:0exKMPo2iind68yWTaHCrr,0.829
30,0.109,https://api.spotify.com/v1/audio-analysis/20117nklRrpujknMRpueYQ,0.633,247827,0.886,20117nklRrpujknMRpueYQ,0.0,1,0.0438,-3.892,1,0.0456,81.811,4,https://api.spotify.com/v1/tracks/20117nklRrpujknMRpueYQ,audio_features,spotify:track:20117nklRrpujknMRpueYQ,0.753
31,0.0411,https://api.spotify.com/v1/audio-analysis/0cELvuwJW1acISUHYB6suj,0.741,248093,0.752,0cELvuwJW1acISUHYB6suj,0.0012,9,0.0233,-7.009,0,0.0359,114.851,4,https://api.spotify.com/v1/tracks/0cELvuwJW1acISUHYB6suj,audio_features,spotify:track:0cELvuwJW1acISUHYB6suj,0.942
32,0.0279,https://api.spotify.com/v1/audio-analysis/0HPwj6JRx73yQoQpDrI3St,0.508,331440,0.811,0HPwj6JRx73yQoQpDrI3St,0.0,5,0.388,-11.966,0,0.19,82.01,4,https://api.spotify.com/v1/tracks/0HPwj6JRx73yQoQpDrI3St,audio_features,spotify:track:0HPwj6JRx73yQoQpDrI3St,0.382
33,0.061,https://api.spotify.com/v1/audio-analysis/7KU7TxI3pgoosprx7fYMi0,0.965,205907,0.778,7KU7TxI3pgoosprx7fYMi0,9.47e-06,1,0.0866,-7.301,1,0.18,132.981,4,https://api.spotify.com/v1/tracks/7KU7TxI3pgoosprx7fYMi0,audio_features,spotify:track:7KU7TxI3pgoosprx7fYMi0,0.789
34,0.135,https://api.spotify.com/v1/audio-analysis/3tkbjyAmQnGsD52Rn8TCX8,0.772,204160,0.861,3tkbjyAmQnGsD52Rn8TCX8,0.000742,7,0.064,-2.389,1,0.0898,133.918,4,https://api.spotify.com/v1/tracks/3tkbjyAmQnGsD52Rn8TCX8,audio_features,spotify:track:3tkbjyAmQnGsD52Rn8TCX8,0.424
35,0.0128,https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz,0.845,257400,0.884,4INDiWSKvqSKDEu7mh8HFz,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz,audio_features,spotify:track:4INDiWSKvqSKDEu7mh8HFz,0.904
36,0.231,https://api.spotify.com/v1/audio-analysis/2nOrEg4ZHuR0cFQHeV8RnI,0.715,182520,0.482,2nOrEg4ZHuR0cFQHeV8RnI,0.0,5,0.143,-9.381,0,0.445,136.297,4,https://api.spotify.com/v1/tracks/2nOrEg4ZHuR0cFQHeV8RnI,audio_features,spotify:track:2nOrEg4ZHuR0cFQHeV8RnI,0.686
37,0.88,https://api.spotify.com/v1/audio-analysis/4hObp5bmIJ3PP3cKA9K9GY,0.675,294400,0.166,4hObp5bmIJ3PP3cKA9K9GY,7.14e-05,11,0.0461,-22.602,1,0.171,68.837,4,https://api.spotify.com/v1/tracks/4hObp5bmIJ3PP3cKA9K9GY,audio_features,spotify:track:4hObp5bmIJ3PP3cKA9K9GY,0.747
38,0.0889,https://api.spotify.com/v1/audio-analysis/4NdXQlDTzxbOMkzJGWFtz3,0.925,132923,0.397,4NdXQlDTzxbOMkzJGWFtz3,5.12e-05,5,0.144,-11.265,1,0.169,130.008,4,https://api.spotify.com/v1/tracks/4NdXQlDTzxbOMkzJGWFtz3,audio_features,spotify:track:4NdXQlDTzxbOMkzJGWFtz3,0.429
39,0.172,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,0.68,194520,0.559,63cd4JkwGgYJrbOizbfmsp,0.0,0,0.318,-5.545,1,0.129,202.006,4,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,audio_features,spotify:track:63cd4JkwGgYJrbOizbfmsp,0.137
40,0.0261,https://api.spotify.com/v1/audio-analysis/4YwbSZaYeYja8Umyt222Qf,0.62,175747,0.936,4YwbSZaYeYja8Umyt222Qf,0.0,7,0.0679,-4.593,1,0.0308,97.527,4,https://api.spotify.com/v1/tracks/4YwbSZaYeYja8Umyt222Qf,audio_features,spotify:track:4YwbSZaYeYja8Umyt222Qf,0.763
41,0.569,https://api.spotify.com/v1/audio-analysis/0Z97JEXHiXXHpc4blFKQc6,0.699,183067,0.782,0Z97JEXHiXXHpc4blFKQc6,1e-05,4,0.0921,-5.203,1,0.0567,164.817,4,https://api.spotify.com/v1/tracks/0Z97JEXHiXXHpc4blFKQc6,audio_features,spotify:track:0Z97JEXHiXXHpc4blFKQc6,0.97
42,0.556,https://api.spotify.com/v1/audio-analysis/4JsRR4poQA4L4hpe7fB8P9,0.585,238320,0.685,4JsRR4poQA4L4hpe7fB8P9,8.69e-05,7,0.134,-9.411,1,0.0402,141.583,4,https://api.spotify.com/v1/tracks/4JsRR4poQA4L4hpe7fB8P9,audio_features,spotify:track:4JsRR4poQA4L4hpe7fB8P9,0.799
43,0.312,https://api.spotify.com/v1/audio-analysis/3GVhCuS4BRxCTvVj4Cmc8w,0.667,284360,0.573,3GVhCuS4BRxCTvVj4Cmc8w,0.0,4,0.188,-7.933,1,0.0277,95.305,4,https://api.spotify.com/v1/tracks/3GVhCuS4BRxCTvVj4Cmc8w,audio_features,spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,0.501
44,0.316,https://api.spotify.com/v1/audio-analysis/6QDk5tu50ufW20Ci423D4m,0.6,186720,0.761,6QDk5tu50ufW20Ci423D4m,0.0,3,0.124,-7.13,1,0.0749,106.859,4,https://api.spotify.com/v1/tracks/6QDk5tu50ufW20Ci423D4m,audio_features,spotify:track:6QDk5tu50ufW20Ci423D4m,0.766
45,0.271,https://api.spotify.com/v1/audio-analysis/3HFdPsHeAtmIrCz5fOYnp4,0.833,191787,0.806,3HFdPsHeAtmIrCz5fOYnp4,1.23e-06,4,0.159,-7.439,1,0.0463,112.23,4,https://api.spotify.com/v1/tracks/3HFdPsHeAtmIrCz5fOYnp4,audio_features,spotify:track:3HFdPsHeAtmIrCz5fOYnp4,0.841
46,0.149,https://api.spotify.com/v1/audio-analysis/6LdxORCLRfmxxAsEc9K7MH,0.87,495400,0.657,6LdxORCLRfmxxAsEc9K7MH,0.0102,2,0.053,-7.32,1,0.0522,110.596,4,https://api.spotify.com/v1/tracks/6LdxORCLRfmxxAsEc9K7MH,audio_features,spotify:track:6LdxORCLRfmxxAsEc9K7MH,0.893
47,0.247,https://api.spotify.com/v1/audio-analysis/3OzwuqlBU5IInWGKhIDhTq,0.907,157307,0.405,3OzwuqlBU5IInWGKhIDhTq,0.0,1,0.538,-8.35,1,0.465,137.945,4,https://api.spotify.com/v1/tracks/3OzwuqlBU5IInWGKhIDhTq,audio_features,spotify:track:3OzwuqlBU5IInWGKhIDhTq,0.856
48,0.18,https://api.spotify.com/v1/audio-analysis/0iMIQ9pTAwimaR9gpUwOgo,0.679,172013,0.528,0iMIQ9pTAwimaR9gpUwOgo,5.47e-06,2,0.135,-7.372,1,0.187,106.439,3,https://api.spotify.com/v1/tracks/0iMIQ9pTAwimaR9gpUwOgo,audio_features,spotify:track:0iMIQ9pTAwimaR9gpUwOgo,0.882
49,0.0219,https://api.spotify.com/v1/audio-analysis/4HQIZMPCW83PYfldeUFl86,0.352,288016,0.653,4HQIZMPCW83PYfldeUFl86,0.000126,11,0.328,-6.085,0,0.0635,92.898,4,https://api.spotify.com/v1/tracks/4HQIZMPCW83PYfldeUFl86,audio_features,spotify:track:4HQIZMPCW83PYfldeUFl86,0.517
